"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Wilson, Jacob","805779","130","7.3",33.1,"108.5","86.8","96.2","86.8","88.2","414","126","377","35",26.9,"3",2.3,2.1
"Bichette, Bo","666182","125","11",41.6,"112.3","90.6","101.2","95.3","87.9","389","166","387","58",46.4,"10",8,6.5
"Duran, Jarren","680776","125","12.9",36,"112","92.2","102.8","94.3","92.5","394","164","383","58",46.4,"10",8,6
"Happ, Ian","664023","123","18.3",39,"112","89.5","100.8","94.4","85.7","404","174","377","51",41.5,"11",8.9,6.4
"Tucker, Kyle","663656","122","19.5",41.8,"108.1","91.1","100.6","94.7","84.6","427","207","395","56",45.9,"18",14.8,10.7
"Kwan, Steven","680757","122","11.4",41.8,"104.1","86.1","94.7","87.5","84.3","406","157","377","24",19.7,"3",2.5,2
"Lindor, Francisco","596019","121","12.2",25.6,"109.7","89.3","100.6","94.4","86","415","152","395","52",43,"10",8.3,6.2
"Chourio, Jackson","694192","121","11",29.8,"110","87.8","100.8","96.6","79.9","448","163","403","52",43,"10",8.3,6.4
"Díaz, Yandy","650490","120","3.6",25.8,"113.4","92.9","104.9","97","91.5","415","141","382","62",51.7,"9",7.5,5.9
"Donovan, Brendan","680977","118","10.6",42.4,"109.2","89.4","100.3","93","85.9","404","170","386","51",43.2,"9",7.6,6.2
"Friedl, TJ","670770","117","12.5",29.1,"106.9","87.8","97.6","89.8","88.2","379","146","378","38",32.5,"1",0.9,0.7
"Albies, Ozzie","645277","116","22.5",31.9,"106.8","86","95.6","89.7","83.6","413","170","374","29",25,"6",5.2,4.1
"Hoerner, Nico","663538","116","11",31,"104.7","87.4","96.2","88.7","87.2","360","149",,"35",30.2,"0",0,0
"Edwards, Xavier","669364","115","10.5",31.3,"105.5","85","94.8","87.5","83.8","362","151",,"27",23.5,"0",0,0
"Lee, Jung Hoo","808982","114","10.6",36.8,"104.5","89.5","98.1","91.4","88.6","406","161","385","37",32.5,"5",4.4,3.4
"Arenado, Nolan","571448","114","15.5",24.6,"107.9","86.2","96.9","89.6","84.3","390","154","380","35",30.7,"5",4.4,3.5
"Witt Jr., Bobby","677951","114","11.6",33.3,"113","91","102.7","95.5","85.2","407","180","381","51",44.7,"11",9.6,7
"Arraez, Luis","650333","113","12.4",38.9,"107.8","86.4","93.5","88.3","84.1","376","159","355","22",19.5,"0",0,0
"Perdomo, Geraldo","672695","112","15.7",36.6,"105.6","88.9","97.4","91.2","88.3","399","173","385","35",31.3,"6",5.4,3.8
"Gurriel Jr., Lourdes","666971","112","19.3",40.2,"109.1","87.3","99.4","93","81.6","416","196","408","42",37.5,"10",8.9,7.5
"Crow-Armstrong, Pete","691718","112","21.1",35.7,"108.6","89.4","99.8","93.5","82.8","418","191","392","45",40.2,"15",13.4,10
"Betts, Mookie","605141","112","15.1",33.9,"107.2","88.3","97.1","90.3","86.8","398","178","384","37",33,"3",2.7,2.1
"Bregman, Alex","608324","111","18.2",32.4,"109.6","92.5","100.8","94.9","90.4","411","188","399","55",49.5,"13",11.7,8.2
"Naylor, Josh","647304","111","7.5",30.6,"110.8","90.5","102.3","92.5","89.2","417","151","392","51",45.9,"8",7.2,5.4
"Harris II, Michael","671739","111","6.1",33.3,"112.4","88.7","100.9","91.7","86.9","446","149","412","38",34.2,"8",7.2,5.7
"Soto, Juan","665742","110","7.8",28.2,"114.3","94","104.7","99.7","90.6","407","150","387","60",54.5,"12",10.9,7.5
"Nootbaar, Lars","663457","110","17.3",32.7,"112.7","90.9","102.3","95.4","87.6","418","171","391","52",47.3,"12",10.9,7.4
"Pasquantino, Vinnie","686469","109","20.4",33,"111.5","90.2","99.7","93.2","88.4","422","197","396","45",41.3,"10",9.2,6.8
"Peña, Jeremy","665161","109","8.8",32.1,"108.6","88.8","101.7","95.5","85.5","407","148","384","51",46.8,"9",8.3,6.3
"Goldschmidt, Paul","502671","108","12.2",39.8,"109.2","88.8","100.3","93.4","83","425","167","396","42",38.9,"9",8.3,6.2
"France, Ty","664034","107","8.2",40.2,"108.7","89.4","100.6","93.4","85.2","411","164","402","46",43,"13",12.1,9.2
"Altuve, Jose","514888","107","14.2",16.8,"107","85.1","97.3","91.5","84.5","402","128","378","38",35.5,"6",5.6,4.1
"Ramírez, José","608070","106","20",38.7,"111.3","87.3","97.7","90.5","85.7","408","181","391","34",32.1,"8",7.5,6.1
"Hernández, Teoscar","606192","106","11.6",39.6,"112.5","86.9","100.7","92.5","80.2","436","171","389","42",39.6,"11",10.4,8.1
"Nimmo, Brandon","607043","106","9.7",28.3,"108.3","93.2","102.7","96.4","91.6","412","163","400","63",59.4,"13",12.3,9.1
"Carroll, Corbin","682998","106","16.5",34,"115.8","93.9","105.7","98.4","90","434","190","408","60",56.6,"18",17,10.9
"Alonso, Pete","624413","106","13.2",38.7,"114.6","95.3","106.8","100.4","89.4","443","181","408","63",59.4,"22",20.8,13.8
"Bohm, Alec","664761","104","6.5",36.5,"109.3","91","100.9","92.6","90.4","397","153",,"50",48.1,"9",8.7,6.7
"Soderstrom, Tyler","691016","104","11.6",43.3,"111.7","92.5","103.8","95.8","90.1","432","178","389","51",49,"16",15.4,10.6
"Adames, Willy","642715","104","19.8",29.8,"109.6","88.8","99.5","95.6","79.5","401","181","392","48",46.2,"11",10.6,7
"Rooker, Brent","667670","104","14.9",38.5,"110.3","90.8","101.2","96.3","85.1","425","187","396","47",45.2,"15",14.4,9.4
"Machado, Manny","592518","103","12.2",38.8,"114.8","93","103.9","96.2","90.5","405","169","393","58",56.3,"13",12.6,9.3
"Rodríguez, Julio","677594","103","8.6",33,"113.3","91.5","102.6","96.5","89.5","438","155","420","47",45.6,"9",8.7,5.8
"Frelick, Sal","686217","103","4.5",27.2,"106.6","85.9","96.6","91.1","82.4","408","120","408","30",29.1,"1",1,0.7
